date,avg
2017-07-26,13.00
2017-07-27,13.00
2017-07-28,13.00
2017-07-29,14.00
2017-07-30,13.00
2017-07-31,13.00
2017-08-01,13.00
2017-08-02,13.00
2017-08-03,13.00
2017-08-04,13.00
2017-08-05,13.00
2017-08-06,16.00
2017-08-07,13.00
2017-08-08,13.00
2017-08-09,15.00
2017-08-10,15.00
2017-08-11,16.00
2017-08-12,16.00
2017-08-13,22.00
2017-08-14,28.00
2017-08-15,18.00
2017-08-16,19.00
2017-08-17,24.00
2017-08-18,24.00
2017-08-19,24.00
2017-08-20,22.00
2017-08-21,24.00
2017-08-22,26.00
2017-08-23,29.00
2017-08-24,29.00
2017-08-25,29.00
2017-08-26,29.00
2017-08-27,27.00
2017-08-28,29.00
2017-08-29,26.00
2017-08-30,22.00
2017-08-31,26.00
2017-09-01,26.00
2017-09-02,26.00
2017-09-03,28.00
2017-09-04,28.00
2017-09-05,28.00
2017-09-06,28.00
2017-09-07,29.00
2017-09-08,33.00
2017-09-09,33.00
2017-09-10,42.00
2017-09-11,48.00
2017-09-12,42.00
2017-09-13,42.00
2017-09-14,57.00
2017-09-15,52.00
2017-09-16,52.00
2017-09-17,44.00
2017-09-18,42.00
2017-09-20,45.00
2017-09-21,42.00
2017-09-22,44.00
2017-09-23,46.00
2017-09-24,52.00
2017-09-25,42.00
2017-09-26,42.00
2017-09-27,42.00
2017-09-28,42.00
2017-09-29,48.00
2017-09-30,52.00
2017-10-01,48.00
2017-10-02,52.00
2017-10-03,48.00
2017-10-04,49.00
2017-10-05,41.00
2017-10-06,42.00
2017-10-07,43.00
2017-10-08,48.00
2017-10-09,42.00
2017-10-10,42.00
2017-10-11,42.00
2017-10-12,42.00
2017-10-13,42.00
2017-10-14,43.00
2017-10-15,42.00
2017-10-16,42.00
2017-10-17,52.00
2017-10-18,42.00
2017-10-19,42.00
2017-10-20,42.00
2017-10-21,49.00
2017-10-22,52.00
2017-10-23,52.00
2017-10-24,52.00
2017-10-25,48.00
2017-10-26,42.00
2017-10-27,52.00
2017-10-28,58.00
2017-10-29,62.00
2017-10-30,52.00
2017-10-31,62.00
2017-11-01,62.00
2017-11-02,68.00
2017-11-03,82.00
2017-11-04,84.00
2017-11-05,88.00
2017-11-06,68.00
2017-11-07,68.00
2017-11-08,72.00
2017-11-09,72.00
2017-11-10,71.00
2017-11-11,73.00
2017-11-12,73.00
2017-11-13,72.00
2017-11-14,72.00
2017-11-15,68.00
2017-11-16,62.00
2017-11-17,58.00
2017-11-18,63.00
2017-11-19,58.00
2017-11-20,52.00
2017-11-21,52.00
2017-11-22,52.00
2017-11-23,52.00
2017-11-24,57.00
2017-11-25,52.00
2017-11-26,58.00
2017-11-27,58.00
2017-11-28,57.00
2017-11-29,48.00
2017-11-30,42.00
2017-12-01,42.00
2017-12-02,43.00
2017-12-03,43.00
2017-12-04,42.00
2017-12-05,38.00
2017-12-06,38.00
2017-12-08,42.00
2017-12-09,43.00
2017-12-10,38.00
2017-12-11,38.00
2017-12-12,36.00
2017-12-13,38.00
2017-12-14,28.00
2017-12-15,28.00
2017-12-16,28.00
2017-12-17,26.00
2017-12-18,26.00
2017-12-19,24.00
2017-12-20,22.00
2017-12-27,28.00
2017-12-28,26.00
2017-12-29,23.00
2017-12-30,24.00
2017-12-31,26.00
2018-01-01,29.00
2018-01-02,26.00
2018-01-03,28.00
2018-01-04,28.00
2018-01-05,28.00
2018-01-06,25.00
2018-01-07,26.00
2018-01-08,26.00
2018-01-09,22.00
2018-01-10,28.00
2018-01-11,28.00
2018-01-12,34.00
2018-01-13,39.00
2018-01-14,38.00
2018-01-16,31.00
2018-01-17,29.00
2018-01-18,29.00
2018-01-19,33.00
2018-01-20,33.00
2018-01-21,28.00
2018-01-22,28.00
2018-01-23,28.00
2018-01-24,28.00
2018-01-25,33.00
2018-01-26,38.00
2018-01-27,38.00
2018-01-28,38.00
2018-01-29,32.00
2018-01-30,29.00
2018-01-31,29.00
2018-02-01,29.00
2018-02-02,29.00
2018-02-03,29.00
2018-02-04,33.00
2018-02-05,33.00
2018-02-06,33.00
2018-02-07,33.00
2018-02-08,33.00
2018-02-09,33.00
2018-02-10,32.00
2018-02-11,29.00
2018-02-12,29.00
2018-02-13,29.00
2018-02-14,29.00
2018-02-15,29.00
2018-02-16,29.00
2018-02-17,29.00
2018-02-18,33.00
2018-02-19,29.00
2018-02-20,29.00
2018-02-21,29.00
2018-02-22,29.00
2018-02-23,29.00
2018-02-24,28.00
2018-02-25,25.00
2018-02-26,29.00
2018-02-27,29.00
2018-02-28,31.00
2018-03-01,31.00
2018-03-02,25.00
2018-03-03,26.00
2018-03-05,24.00
2018-03-06,23.00
2018-03-07,29.00
2018-03-08,29.00
2018-03-09,29.00
2018-03-10,45.00
2018-03-11,29.00
2018-03-12,23.00
2018-03-13,23.00
2018-03-14,23.00
2018-03-15,29.00
2018-03-16,28.00
2018-03-17,28.00
2018-03-18,28.00
2018-03-19,28.00
2018-03-20,24.00
2018-03-21,23.00
2018-03-22,26.00
2018-03-23,26.00
2018-03-24,24.00
2018-03-25,22.00
2018-03-26,22.00
2018-03-27,26.00
2018-03-28,24.00
2018-03-29,23.00
2018-03-30,23.00
2018-03-31,24.00
2018-04-01,23.00
2018-04-02,23.00
2018-04-03,25.00
2018-04-04,26.00
2018-04-05,26.00
2018-04-06,33.00
2018-04-07,28.00
2018-04-08,30.00
2018-04-09,29.00
2018-04-10,28.00
2018-04-11,28.00
2018-04-12,28.00
2018-04-13,28.00
2018-04-14,28.00
2018-04-15,28.00
2018-04-16,28.00
2018-04-17,30.00
2018-04-18,32.00
2018-04-19,30.00
2018-04-20,30.00
2018-04-21,23.00
2018-04-22,30.00
2018-04-23,28.00
2018-04-24,23.00
2018-04-25,23.00
2018-04-26,23.00
2018-04-27,24.00
2018-04-28,23.00
2018-04-29,22.00
2018-04-30,25.00
2018-05-01,24.00
2018-05-02,25.00
2018-05-03,25.00
2018-05-04,22.00
2018-05-05,19.00
2018-05-06,22.00
2018-05-07,22.00
2018-05-08,22.00
2018-05-09,22.00
2018-05-10,19.00
2018-05-11,19.00
2018-05-12,17.00
2018-05-13,16.00
2018-05-14,18.00
2018-05-15,22.00
2018-05-16,22.00
2018-05-17,22.00
2018-05-18,26.00
2018-05-19,26.00
2018-05-20,28.00
2018-05-21,26.00
2018-05-22,28.00
2018-05-23,28.00
2018-05-24,26.00
2018-05-25,26.00
2018-05-26,27.00
2018-05-27,26.00
2018-05-28,33.00
2018-05-29,43.00
2018-05-30,38.00
2018-05-31,38.00
2018-06-01,38.00
2018-06-02,38.00
2018-06-03,38.00
2018-06-04,33.00
2018-06-05,32.00
2018-06-06,33.00
2018-06-07,33.00
2018-06-08,29.00
2018-06-09,29.00
2018-06-10,29.00
2018-06-11,23.00
2018-06-12,24.00
2018-06-13,26.00
2018-06-14,33.00
2018-06-15,33.00
2018-06-16,38.00
2018-06-17,42.00
2018-06-18,42.00
2018-06-19,42.00
2018-06-20,58.00
2018-06-21,58.00
2018-06-22,58.00
2018-06-23,58.00
2018-06-24,62.00
2018-06-25,68.00
2018-06-26,68.00
2018-06-27,48.00
2018-06-28,52.00
2018-06-29,48.00
2018-06-30,48.00
2018-07-01,48.00
2018-07-02,68.00
2018-07-03,78.00
2018-07-04,48.00
2018-07-05,48.00
2018-07-06,48.00
2018-07-07,43.00
2018-07-08,38.00
2018-07-09,38.00
2018-07-10,38.00
2018-07-11,38.00
2018-07-12,38.00
2018-07-13,42.00
2018-07-14,38.00
2018-07-15,38.00
2018-07-16,38.00
2018-07-17,42.00
2018-07-18,42.00
2018-07-19,42.00
2018-07-20,38.00
2018-07-21,38.00
2018-07-22,38.00
